✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:30:06] Time: 303s | Total Latency: 38540.00 ms | Throughput: 203240.37 records/s
[16:30:08] Time: 305s | Total Latency: 38540.00 ms | Throughput: 200906.93 records/s
[16:30:10] Time: 307s | Total Latency: 38540.00 ms | Throughput: 196658.10 records/s
[16:30:12] Time: 309s | Total Latency: 37394.00 ms | Throughput: 197374.13 records/s
[16:30:14] Time: 311s | Total Latency: 37394.00 ms | Throughput: 189048.40 records/s
[16:30:16] Time: 313s | Total Latency: 38768.00 ms | Throughput: 184386.80 records/s
[16:30:18] Time: 315s | Total Latency: 38768.00 ms | Throughput: 183645.80 records/s
[16:30:20] Time: 317s | Total Latency: 38768.00 ms | Throughput: 180380.47 records/s
[16:30:22] Time: 319s | Total Latency: 39134.00 ms | Throughput: 182310.17 records/s
[16:30:24] Time: 321s | Total Latency: 39134.00 ms | Throughput: 184101.70 records/s
[16:30:26] Time: 323s | Total Latency: 37819.00 ms | Throughput: 181034.20 records/s
[16:30:28] Time: 325s | Total Latency: 37819.00 ms | Throughput: 186959.83 records/s
[16:30:30] Time: 327s | Total Latency: 37819.00 ms | Throughput: 187181.03 records/s
[16:30:32] Time: 329s | Total Latency: 34537.00 ms | Throughput: 184295.97 records/s
[16:30:34] Time: 331s | Total Latency: 34537.00 ms | Throughput: 185110.87 records/s
[16:30:36] Time: 333s | Total Latency: 32206.00 ms | Throughput: 186762.03 records/s
[16:30:38] Time: 335s | Total Latency: 32206.00 ms | Throughput: 186946.97 records/s
[16:30:40] Time: 337s | Total Latency: 32206.00 ms | Throughput: 188800.83 records/s
[16:30:42] Time: 339s | Total Latency: 30865.00 ms | Throughput: 188787.53 records/s
[16:30:44] Time: 341s | Total Latency: 30865.00 ms | Throughput: 186748.20 records/s
[16:30:46] Time: 343s | Total Latency: 31645.00 ms | Throughput: 187237.90 records/s
[16:30:48] Time: 345s | Total Latency: 31645.00 ms | Throughput: 188440.83 records/s
[16:30:50] Time: 347s | Total Latency: 31645.00 ms | Throughput: 186731.43 records/s
[16:30:52] Time: 349s | Total Latency: 26162.00 ms | Throughput: 185785.23 records/s
[16:30:54] Time: 351s | Total Latency: 26162.00 ms | Throughput: 186961.30 records/s
[16:30:56] Time: 353s | Total Latency: 24649.00 ms | Throughput: 188477.80 records/s
[16:30:58] Time: 355s | Total Latency: 24649.00 ms | Throughput: 187220.70 records/s
[16:31:00] Time: 357s | Total Latency: 24649.00 ms | Throughput: 188255.17 records/s
[16:31:02] Time: 359s | Total Latency: 23544.00 ms | Throughput: 187142.57 records/s
[16:31:04] Time: 361s | Total Latency: 23544.00 ms | Throughput: 187487.53 records/s
